Ablation ladder — is the 27-cell regime conditioning real?
All rungs scored on the SAME decision windows (gated on the conditional cell).
p05 = 5th-percentile slippage (the adverse tail). + = beats a market order at the open.
conditional reproduces run_backtest_rolling at target=0.6 (asserted).

=== Gold (tick=0.1, active days 132/296) ===
market    side tau target rung              n   fill      avg   median p05(tail)
Bunds     sell   5   0.60 conditional    4194 73.7%   +0.212   +1.000     -6.00
Bunds     sell   5   0.60 unconditional   4194 65.9%   +0.215   +2.000     -6.00
Bunds     sell   5   0.70 conditional    4194 79.9%   +0.247   +1.000     -5.00
Bunds     sell   5   0.70 unconditional   4194 85.0%   +0.227   +1.000     -4.00
Bunds     sell   5   0.80 conditional    4194 88.0%   +0.170   +1.000     -4.00
Bunds     sell   5   0.80 unconditional   4194 85.9%   +0.242   +1.000     -4.00
Bunds     sell   5    -   persistence    4194 56.7%   +0.105   +1.000     -7.00
Bunds     sell   5    -   random         4194 25.5%   +0.063   +0.000     -7.00
Bunds     sell   5    -   vwap           4194 100.0%   -0.035   +0.004     -5.36
Bunds     buy    5   0.40 conditional    4194 46.7%   +0.160   +1.000     -8.00
Bunds     buy    5   0.40 unconditional   4194 43.8%   +0.142   +1.000     -7.00
Bunds     buy    5   0.50 conditional    4194 58.4%   +0.176   +1.000     -7.00
Bunds     buy    5   0.50 unconditional   4194 54.1%   +0.139   +2.000     -7.00
Bunds     buy    5   0.60 conditional    4194 69.2%   +0.192   +1.000     -7.00
Bunds     buy    5   0.60 unconditional   4194 63.9%   +0.151   +2.000     -7.00
Bunds     buy    5   0.70 conditional    4194 76.7%   +0.186   +1.000     -6.00
Bunds     buy    5   0.70 unconditional   4194 81.9%   +0.227   +1.000     -5.00
Bunds     buy    5   0.80 conditional    4194 89.1%   +0.169   +1.000     -4.00
Bunds     buy    5   0.80 unconditional   4194 84.1%   +0.234   +1.000     -4.00
Bunds     buy    5    -   persistence    4194 57.6%   +0.134   +1.000     -7.00
Bunds     buy    5    -   random         4194 26.3%   +0.097   +0.000     -7.00
Bunds     buy    5    -   vwap           4194 100.0%   +0.035   -0.004     -5.44
Bunds     sell  10   0.40 conditional    1835 45.3%   +0.143   +2.000    -11.00
Bunds     sell  10   0.40 unconditional   1835 43.8%   +0.134   +2.000    -11.00
Bunds     sell  10   0.50 conditional    1835 54.9%   +0.134   +2.000    -11.00
Bunds     sell  10   0.50 unconditional   1835 53.7%   +0.059   +3.000    -10.00
Bunds     sell  10   0.60 conditional    1835 66.4%   +0.160   +2.000    -10.00
Bunds     sell  10   0.60 unconditional   1835 63.8%   +0.186   +3.000    -10.00
Bunds     sell  10   0.70 conditional    1835 76.1%   +0.211   +2.000     -9.00
Bunds     sell  10   0.70 unconditional   1835 76.6%   +0.309   +2.000     -9.00
Bunds     sell  10   0.80 conditional    1835 84.7%   +0.164   +1.000     -8.00
Bunds     sell  10   0.80 unconditional   1835 89.8%   +0.232   +1.000     -5.00
Bunds     sell  10    -   persistence    1835 54.5%   +0.156   +1.000    -11.00
Bunds     sell  10    -   random         1835 28.3%   +0.071   +1.000    -11.00
Bunds     sell  10    -   vwap           1835 100.0%   -0.055   +0.129     -7.86
Bunds     buy   10   0.40 conditional    1835 41.4%   +0.113   +1.000    -11.00
Bunds     buy   10   0.40 unconditional   1835 39.2%   +0.131   +1.000    -11.00
Bunds     buy   10   0.50 conditional    1835 52.2%   +0.228   +2.000    -10.30
Bunds     buy   10   0.50 unconditional   1835 49.9%   +0.128   +3.000    -10.00
